Symbol,Description,Asset_Type
DELT,Delta Tech HD Ltd Or,Stock
DENN,Dennys Corp,Stock
DEO,Diageo Plc,Stock
DEPO,Depomed Inc,Stock
DERM,Dermira Inc Cm ST,Stock
DESP,Despegar.Com Corp,Stock
DEST,Destination Maternty,Stock
DEX,Delaware Enhanced Global Dividend,Stock
DF,Dean Foods Company,Stock
DFBG,Differntl Brands,Stock
DFBHU,Dfb Healthcare Acquisitions Corp. Unit,Stock
DFFN,Diffusion Pharmaceuticals Inc,Stock
DFIN,Donnelly Financial Solutions Inc,Stock
DFNL,Davis Select Financial ETF,Stock
DFP,Flaherty & Crumrine Dynamic,Stock
DFRG,Del Frisco's Restrnt,Stock
DFS,Discover Financial Services,Stock
DFVL,5 Year Bull Ipath,Stock
DFVS,5 Year Bear Ipath,Stock
DG,Dollar General Corp,Stock
DGICA,Donegal Group Cl A,Stock
DGICB,Donegal Group Cl B,Stock
DGII,Digi Intl Inc,Stock
DGLD,VS 3X Inv Gold,Stock
DGLY,Digital Ally Inc,Stock
DGRE,Wisdomtree EM Quality Divd Growth Fund,Stock
DGRS,Wisdomtree US Smallcap Quality Dvid Fund,Stock
DGRW,Wisdomtree US Quality Divd Fund,Stock
DGX,Quest Diagnostics Inc,Stock
DHCP,Ditech Holding Corporation,Stock
DHF,Dreyfus High Yield Strategies Fund,Stock
DHG,Dws High Income Opportunities Fund,Stock
DHI,D.R. Horton,Stock
DHIL,Diamond Hill Inv,Stock
DHR,Danaher Corp,Stock
DHT,Dht Holdings,Stock
DHX,Dice Holdings,Stock
DHXM,Dhx Media Varbl Vtg,Stock
DIAX,Nuveen DOW,Stock
DIN,Dineequity Inc,Stock
DINT,Davis Select International ETF,Stock
DIOD,Diodes Inc,Stock
DIS,Walt Disney Company,Stock
DISCA,Discovery Comm A,Stock
DISCB,Discovery Comm B,Stock
DISCK,Discovery Comm Inc,Stock
DISH,Dish Network Corp,Stock
DJCO,Daily Journal Cp,Stock
DK,Delek US Holdings,Stock
DKL,Delek Logistics Partners LP,Stock
DKS,Dick's Sporting Goods Inc,Stock
DKT,Deutsch Bk Contingent Cap TR V,Stock
DL,China Distance Education Holdings,Stock
DLB,Dolby Laboratories,Stock
DLBS,Ipath Long Bond Bear ETN,Stock
DLHC,Dlh Holdings Corp,Stock
DLN-A,Dynagas Lng Partners LP 9.00% Series A,Stock
DLNG,Dynagas Lng Partners LP,Stock
DLPH,Delphi Technologies Plc,Stock
DLPN,Dolphin Entertainment Inc,Stock
DLPNW,Dolphin Entertainment Inc Warrant,Stock
DLR,Digital Realty Trust,Stock
DLR-C,Digital Realty Trust Inc 6.625% Series C,Stock
DLR-G,Digital Realty Trust Inc,Stock
DLR-H,Digital Realty,Stock
DLR-I,Digital Rlty TR Inc Pfd Sr I %,Stock
DLR-J,Digital Realty Trust Inc Cum Redeemable Pfd Ser,Stock
DLTH,Duluth Hldg Cl B,Stock
DLTR,Dollar Tree Inc,Stock
DLX,Deluxe Corp,Stock
DM,Dominion Midstream Partners LP,Stock
DMB,Dreyfus Municipal Bond Infrastr,Stock
DMLP,Dorchester Minls,Stock
DMO,Western Asset Mortgage Defined Opp,Stock
DMPI,Delmar Pharmaceuticals Inc,Stock
DMRC,Digimarc Corp,Stock
DNB,Dun & Bradstreet Corp,Stock
DNBF,Dnb Finl Corp,Stock
DNI,Chartwell Dividend & Income Fund,Stock
DNJR,Golden Bull Limited Ordinary Shares,Stock
DNKN,Dunkin' Brands Group,Stock
DNLI,Denali Therapeutics Inc,Stock
DNOW,Now Inc,Stock
DNP,Duff & Phelps Utilities Income,Stock
DNR,Denbury Resources,Stock
DO,Diamond Offshore Drilling,Stock
DOC,Physicians Realty Trust,Stock
DOGZ,Dogness Corporation Class A,Stock
DOOR,Masonite Wrldwde Hld,Stock
DORM,Dorman Products Inc,Stock
DOTA,Draper Oakwood Technology Acquisition Inc Clas,Stock
DOTAR,Draper Oakwood Technology Acquisition Inc Righ,Stock
DOTAU,Draper Oakwood Technology Acquisition,Stock
DOTAW,Draper Oakwood Technology Acquisition Inc Warr,Stock
DOV,Dover Corp,Stock
DOVA,Dova Pharmaceuticals Inc,Stock
DOX,Amdocs Ltd Ord,Stock
DPG,Duff & Phelps Global Utility I,Stock
DPLO,Diplomat Pharmacy Inc,Stock
DPS,Dr Pepper Snapple Group Inc,Stock
DPZ,Domino's Pizza Inc,Stock
DQ,Daqo New Energy,Stock
DRAD,Digirad Corp,Stock
DRD,Drdgold Ltd,Stock
DRE,Duke Realty Corp,Stock
DRH,Diamondrock Hospitality Company,Stock
DRI,Darden Restaurants,Stock
DRIO,Labstyle Innovat,Stock
DRIOW,Labstyle Innovati WT,Stock
DRNA,Dicerna Pharmaceutic,Stock
DRQ,Dril-Quip,Stock
DRRX,Durect Corp,Stock
DRUA,Dominion Resources Inc,Stock
DRYS,Dryships Inc,Stock
DS,Drive Shack Inc,Stock
DS-B,Drive Shack Inc [Dspb],Stock
DS-C,Drive Shack Inc [Dspc],Stock
DS-D,Drive Shack Inc [Dspd],Stock
DSE,Duff & Phelps Select Energy ML,Stock
DSGX,Descartes Sys Grp,Stock
DSKE,Daseke Inc,Stock
DSKEW,Daseke Inc,Stock
DSL,Doubleline Income Solutions Fun,Stock
DSLV,VS 3X Inv Silver,Stock
DSM,Dreyfus Strategic Muni Bond Fund,Stock
DSPG,D S P Group Inc,Stock
DST,Dst Systems,Stock
DSU,Blackrock Debt Strategies Fund,Stock
DSW,DSW Inc,Stock
DSWL,Deswell Inds Inc,Stock
DSX,Diana Shipping Inc,Stock
DSX-B,Diana Shipping,Stock
DSXN,Diana Shipping Inc,Stock
DTE,Dte Energy Company,Stock
DTEA,Davidstea Inc,Stock
DTF,Duff & Phelps Utilities Tax-Free Income,Stock
DTJ,Dte Energy Company 2016 Series,Stock
DTL.P,Datalink Corp,Stock
DTQ,Dte Energy Co,Stock
DTRM,Determine Inc,Stock
DTUS,2 Year Bear Ipath,Stock
DTV,Dte Energy Co,Stock
DTW,Dte Energy Company 2017 Series E 5.25% Jr,Stock
DTY,Dte Energy Co,Stock
DTYS,10 Year Bear Ipath,Stock
DUC,Duff & Phelps Utility & Corporate Trust,Stock
DUK,Duke Energy Corp,Stock
DUKH,Duke Energy Corp,Stock
DUSA,Davis Select USA ETF,Stock
DVA,Davita Healthcare Partners Inc,Stock
DVAX,Dynavax Technologies,Stock
DVCR,Diversicare Healthca,Stock
DVD,Dover Downs Entertainment,Stock
DVMT,Dell Technologies Inc Cl V,Stock
DVN,Devon Energy Corp,Stock
DVY,DJ Select Dividend Index Ishares,Stock
DWAC,Elkhorn Commodity Rotation Strategy ETF,Stock
DWAQ,Dynamic OTC Powershares,Stock
DWAS,DWA Smallcap Momentum Portfolio PS,Stock
DWAT,Arrow DWA Tactic ETF,Stock
DWCH,Datawatch Cp,Stock
DWCR,Arrow DWA Country Rotation ETF,Stock
DWDP,Dowdupont Inc,Stock
DWFI,DW Fixed Income Allocation ETF SPDR,Stock
DWIN,DWA Tactical Multi-Asset Income PS,Stock
DWLD,Davis Select World Opportunities ETF,Stock
DWLV,DWA Momentum & Low Vol Rotation PS,Stock
DWPP,First Trust Dorsey Wright People's Portfolio ETF,Stock
DWSN,Dawson Geophscl,Stock
DWTR,DWA Tactical Sector Rotation PS,Stock
DX,Dynex Capital,Stock
DX-A,Dynex Capital Inc,Stock
DXB,Deutsche Bk Contingent Cap TR I,Stock
DX-B,Dynex Capital Inc,Stock
DXC,Dxc Technology Company,Stock
DXCM,Dexcom,Stock
DXGE,Wisdomtree Germany Hedged Eqty Fund,Stock
DXJS,Wisdomtree Japan Smallcap Eqty Hedged Fund,Stock
DXLG,Destination XL Grp,Stock
DXPE,Dxp Enterprise,Stock
DXPS,Wisdomtree UK Eqty Hedged Fund,Stock
DXYN,The Dixie Group,Stock
DY,Dycom Industries,Stock
DYN,Dynegy Inc,Stock
DYN.A,Dynegy Inc,Stock
DYNC,Dynegy Inc 7.00% Tangible Equi,Stock
DYNT,Dynatronics Cp,Stock
DYSL,Dynasil Cp America,Stock
DZSI,Dasan Zhone Solutions Inc,Stock
E,Eni S.P.A.,Stock
EA,Electronic Arts Inc,Stock
EAB,First Mortgage Bonds,Stock
EACQ,Easterly Acq,Stock
EACQW,Easterly Acq Warrant,Stock
EAE,Entergy Arkansas Inc,Stock
EAGL,Platinum Eagle Acquisition Corp. Class A,Stock
EAGLU,Double Eagle Units,Stock
EAGLW,Platinum Eagle Acquisition Corp. Warrant,Stock
EAI,Entergy Arkansas Inc,Stock
EARN,Ellington Residential Mortgage,Stock
EARS,Auris Medical,Stock
EAST,Eastside Distilling Inc,Stock
EASTW,Eastside Distilling Inc. Warrant,Stock
EAT,Brinker International,Stock
EBAY,Ebay Inc,Stock
EBAYL,Ebay Inc 6.0% NTS,Stock
EBF,Ennis Inc,Stock
EBIO,Eleven Bio Inc,Stock
EBIX,Ebix Inc,Stock
EBMT,Eagle Bancorp [Mt],Stock
EBR,Centrais Electricas Brazil,Stock
EBR.B,Centrais Eletricas Brasileiras,Stock
EBS,Emergent Biosolutions,Stock
EBSB,Meridian Bncp,Stock
EBTC,Enterprise Bancorp I,Stock
EC,Ecopetrol S.A.,Stock
ECA,Encana Corp,Stock
ECC,Eagle Point Credit Co. Inc,Stock
ECCA,Eagle Point Credit Company Inc,Stock
ECCB,Eagle Point Credit Company Inc,Stock
ECCY,Eagle Point Credit Company Inc,Stock
ECCZ,Eagle Point Credit Co. Inc,Stock
ECHO,Echo Global Logistic,Stock
ECL,Ecolab Inc,Stock
ECOL,US Ecology Inc,Stock
ECOM,Channeladvisor Corp,Stock
ECPG,Encore Capital Grp,Stock
ECR,Eclipse Resources Corp,Stock
ECT,Eca Marcellus Trust I,Stock
ECYT,Endocyte Inc,Stock
ED,Consolidated Edison Company of New York,Stock
EDAP,Edap Tms Sa ADR,Stock
EDBI,Legg EM Div Core ETF,Stock
EDD,Emerging Markets Domestic Debt Fund,Stock
EDF,Stone Harbor Emerging Markets,Stock
EDGE,Edge Therapeut Cm S,Stock
EDGW,Edgewater Tech Inc,Stock
EDI,Stone Harbor Emerging Markets,Stock
EDIT,Editas Medicine,Stock
EDN,Empresa Distribuidora Y Comercializadora,Stock
EDR,Education Realty Trust Inc,Stock
EDU,New Oriental Education & Technology Group,Stock
EDUC,Educational Dev Cp,Stock
EE,El Paso Electric Company,Stock
EEA,European Equity Fund,Stock
EEFT,Euronet Worldwide,Stock
EEI,Ecology Environment,Stock
EEMA,Ishares EM Asia ETF,Stock
EEP,Enbridge Energy LP,Stock
EEQ,Enbridge Energy Management Llc,Stock
EEX,Emerald Expositions Events Inc,Stock
EFAS,G-X MSCI Superdividend EAFE ETF,Stock
EFBI,Eagle Financial Bancorp Inc,Stock
EFC,Ellington Financial Llc,Stock
EFF,Eaton Vance Floating-Rate Inco,Stock
EFII,Elec Imaging Inc,Stock
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,Stock
EFOI,Energy Focus,Stock
EFR,Eaton Vance Senior Floating-Rate Fund,Stock
EFSC,Enterprises Finl Svc,Stock
EFT,Eaton Vance Floating Rate Income Trust,Stock
EFX,Equifax Inc,Stock
EGAN,Egain Corp,Stock
EGBN,Eagle Bancorp Inc,Stock
EGC,Energy Xxi Gulf Coast Inc,Stock
EGF,Blackrock Enhanced Government Fund,Stock
EGHT,8X8 Inc,Stock
EGIF,Eagle Growth and Income Opportu,Stock
EGL,Engility Holdings Inc,Stock
EGLE,Eagle Bulk Ship New,Stock
EGLT,Egalet Corp,Stock
EGN,Energen Corp,Stock
EGO,Eldorado Gold Corp,Stock
EGOV,Nic Inc,Stock
EGP,Eastgroup Properties,Stock
EGRX,Eagle Pharmaceutical,Stock
EGY,Vaalco Energy Inc,Stock
EHC,Encompass Health Corp.,Stock
EHI,Western Asset Global High,Stock
EHIC,Ehi Car Services Ltd,Stock
EHT,Eaton Vance High Income 2021 Ta,Stock
EHTH,Ehealth Inc,Stock
EIG,Employers Holdings Inc,Stock
EIGI,Endurance Int Grp,Stock
EIGR,Eiger Biopharma,Stock
EIX,Edison International,Stock
EKSO,Ekso Bionics Holdings Inc,Stock
EL,Estee Lauder Companies,Stock
ELC,Entergy Louisiana Llc,Stock
ELEC,Electrum Special Or,Stock
ELECW,Electrum Special WT,Stock
ELF,E.L.F. Beauty Inc,Stock
ELGX,Endologix Inc,Stock
ELJ,Entergy Louisiana Llc,Stock
ELLI,Ellie Mae Inc,Stock
ELON,Echelon Corp,Stock
ELP,Companhia Paranaense De Energia,Stock
ELS,Equity Lifestyle Properties,Stock
ELSE,Electro Sensors In,Stock
ELTK,Eltek Ltd,Stock
ELU,Entergy Louisiana Llc First M,Stock
ELVT,Elevate Credit Inc,Stock
ELY,Callaway Golf Company,Stock
EMB,USD Emrg Mkts Bond Ishares,Stock
EMCB,Wisdomtree EM Corp Bond Fund,Stock
EMCF,Emclaire Finl Cor,Stock
EMCG,Wisdomtree EM Consumer Growth,Stock
EMCI,E M C Insurance Gp,Stock
EMD,Western Asset Emerging Market Debt Fund Inc,Stock
EME,Emcor Group,Stock
EMES,Emerge Energy Services LP,Stock
EMF,Templeton Emerging Markets Fund,Stock
EMIF,Ishares EM Infrastructure ETF,Stock
EMITF,Elbit Imaging Ord,Stock
EMKR,Emcore Corp,Stock
EML,Eastern Co,Stock
EMMS,Emmis Commun Cl A,Stock
EMN,Eastman Chemical Company,Stock
EMO,Clearbridge Energy MLP Opportu,Stock
EMP,Entergy Mississippi Inc 4.9% Bonds,Stock
EMR,Emerson Electric Company,Stock
EMXC,Ishares Inc Ishares MSCI Emerging Markets Ex C,Stock
ENB,Enbridge Inc,Stock
ENBL,Enable Midstream Partners LP,Stock
ENDP,Endo Int'l Plc,Stock
ENFC,Entegra Financ Cm ST,Stock
ENG,Englobal Corp,Stock
ENIA,Enersis Americas S.A. American,Stock
ENIC,Enersis Chile S.A. ADR,Stock
ENJ,Entergy New Orleans Inc,Stock
ENLC,Enlink Midstream Llc,Stock
ENLK,Enlink Midstream Partners LP,Stock
ENO,Entergy New Orleans Inc.First,Stock
ENPH,Enphase Energy Inc,Stock
ENR,Energizer Holdings Inc,Stock
ENS,Enersys Inc,Stock
ENSG,The Ensign Group In,Stock
ENT,Global Eagle Entrtn,Stock
ENTA,Enanta Pharmaceutica,Stock
ENTG,Entegris Inc,Stock
ENTL,Entellus Medical,Stock
ENV,Envestnet Inc,Stock
ENVA,Enova International Inc,Stock
ENZ,Enzo Biochem,Stock
ENZL,New Zealand Index MSCI Ishares,Stock
EOCC,Empresa Nacional De Electricida,Stock
EOD,Wells Fargo Global Dividend Opportunity,Stock
EOG,Eog Resources,Stock
EOI,Eaton Vance Enhance Equity,Stock
EOLS,Evolus Inc.,Stock
EOS,Eaton Vance Enhanced Equity II,Stock
EOT,Eaton Vance Muni Income Trust,Stock
EPAM,Epam Systems Inc,Stock
EPAY,Bottomline Tech In,Stock
EPC,Edgewell Personal Care,Stock
EP-C,El Paso Egy Cap I Pr,Stock
EPD,Enterprise Products Partners LP,Stock
EPE,Ep Energy Corp,Stock
EPIX,Essa Pharma,Stock
EPR,Entertainment Properties Trust,Stock
EPR-C,Entertainment Prp Pf,Stock
EPR-E,Entertainment Ppty P,Stock
EPR-G,Epr Properties Pfd Ser G,Stock
EPZM,Epizyme Inc,Stock
EQBK,Equity Bncsrs Cm A,Stock
EQC,Equity Commonwealth,Stock
EQC-D,Equity Commonwealth,Stock
EQCO,Equity Commonwealth,Stock
EQFN,Equitable Fincl,Stock
EQGP,Eqt Gp Holdings LP,Stock
EQIX,Equinix Inc,Stock
EQM,Equity Midstream Partners LP,Stock
EQR,Equity Residential,Stock
EQRR,Proshares Trust Proshares Equities For Rising Ra,Stock
EQS,Equus Total Return,Stock
EQT,Eqt Corp,Stock
ERA,Era Group Inc,Stock
ERF,Enerplus Corp,Stock
ERI,Eldorado Resorts,Stock
ERIC,Ericsson ADR,Stock
ERIE,Erie Indemnity Co,Stock
ERII,Energy Recovery Inc,Stock
ERJ,Embraer-Empresa Brasileira De Aeronautica,Stock
EROS,Eros International Plc,Stock
ERYP,Erytech Pharma,Stock
ES,Eversource Energy,Stock
ESBK,Elmira Sav Bk,Stock
ESCA,Escalade Inc,Stock
ESE,Esco Technologies Inc,Stock
ESEA,Euroseas Ltd,Stock
ESES,Eco-Stim Energy,Stock
ESG,Flexshares US ESG Impact Index,Stock
ESGD,Ishares EAFE ESG Select ETF,Stock
ESGE,Ishares EM ESG Select ETF,Stock
ESGG,Flexshares Global ESG Impact Index,Stock
ESGR,Enstar Group Ltd,Stock
ESGU,Ishares US ESG Optimized ETF,Stock
ESIO,Electro Sci Inds,Stock
ESL,Esterline Technologies Corp,Stock
ESLT,Elbit Systems Ltd,Stock
ESND,Essendant Inc,Stock
ESNT,Essent Group Ltd,Stock
ESPR,Esperion Theraptc,Stock
ESQ,Esquire Financial Holdings Inc,Stock
ESRT,Empire State Realty Trust Inc,Stock
ESRX,Express Scripts,Stock
ESS,Essex Property Trust,Stock
ESSA,Essa Bancorp Inc,Stock
ESTE,Earthstone Energy,Stock
ESTR,Estre Ambiental Inc,Stock
ESTRW,Estre Ambiental Inc Warrant,Stock
ESV,Ensco Plc,Stock
ESXB,Community Bankers,Stock
ETB,Eaton Vance Tax-Managed Buy-Write,Stock
ETE,Energy Transfer Equity LP,Stock
ETFC,E*Trade Finl Corp,Stock
ETG,Eaton Vance Tax-Advantaged Global Dividend,Stock
ETH,Ethan Allen Interiors Inc,Stock
ETJ,Eaton Vance Risk-Managed Diversified Equity,Stock
ETM,Entercom Communications Corp,Stock
ETN,Eaton Corp,Stock
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,Stock
ETP,Energy Transfer Partners,Stock
ETR,Entergy Corp,Stock
ETSY,Etsy Inc,Stock
ETV,Eaton Vance Corp,Stock
ETW,Eaton Vance Corp,Stock
ETX,Eaton Vance Municipal Income T,Stock
ETY,Eaton Vance Tax-Managed Diversified Equity,Stock
EUFN,Europe Financials ETF Ishares,Stock
EURN,Euronav Nv,Stock
EV,Eaton Vance Corp,Stock
EVA,Enviva Partners LP,Stock
EVBG,Everbridge Inc,Stock
EVC,Entravision Communications Corp,Stock
EVEP,Ev Energy Partners,Stock
EVF,Eaton Vance Senior Income Trust,Stock
EVFM,Evofem Biosciences Inc.,Stock
EVFTC,Eaton Vance Nextshares Trust II Eaton Vance Floa,Stock
EVG,Eaton Vance Short Diversified,Stock
EVGN,Evogene Ltd Ord,Stock
EVH,Evolent Health Inc Class A Com,Stock
EVHC,Envision Healthcare Holdings,Stock
EVK,Ever Glory Intl Grp,Stock
EVLV,Evine Live Cl A,Stock
EVN,Eaton Vance Muni Income Trust,Stock
EVOK,Evoke Pharma,Stock
EVOL,Evolving Systems Inc,Stock
EVR,Evercore Partners Inc,Stock
EVRI,Everi Holdings Inc,Stock
EVT,Eaton Vance Tax Advantaged Dividend,Stock
EVTC,Evertec Inc,Stock
EW,Edwards Lifesciences Corp,Stock
EWBC,East West Bancorp,Stock
EWZS,Ishares Brazil Smallcap ETF,Stock
EXAS,Exact Sciences Cor,Stock
EXC,Exelon Corp,Stock
EXD,Eaton Vance Tax-Advantaged Bond,Stock
EXEL,Exelixis Inc,Stock
EXFO,Exfo Inc,Stock
EXG,Eaton Vance Tax-Managed Global Diversified Equit,Stock
EXK,Endeavour Silver Corp,Stock
EXLS,Exlservice Holdings,Stock
EXP,Eagle Materials Inc,Stock
EXPD,Expeditors Intl,Stock
EXPE,Expedia Inc,Stock
EXPO,Exponent Inc,Stock
EXPR,Express Inc,Stock
EXR,Extra Space Storage Inc,Stock
EXTN,Exterran Corp,Stock
EXTR,Extreme Networks,Stock
EXXI,Energy Xxi Gulf Coast Inc,Stock
EYE,National Vision Holdings Inc,Stock
EYEG,Eyegate Pharma,Stock
EYEGW,Eyegate Pharm Wts,Stock
EYEN,Eyenovia Inc.,Stock
EYES,Second Sight,Stock
EYESW,Second Sight Medical Products Inc Warrants,Stock
EZPW,Ezcorp Inc,Stock
EZT,First Mortgage Bonds,Stock
F,Ford Motor Company,Stock
FAAR,Alternative Absolute Return Strategy ETF FT,Stock
FAB,Multi Cap Value Alphadex Fund FT,Stock
FAC,Liberte Investors Inc,Stock
FAD,Multicap Growth Alphadex Fund FT,Stock
FAF,First American Corp,Stock
FALN,Ishares Fallen Angels USD Bond,Stock
FAM,First Trust/Aberdeen Global Opportunity,Stock
FAMI,Farmmi Inc.,Stock
FANG,Diamondback Energy,Stock
FANH,Fanhua Inc,Stock
FARM,Farmer Brothers,Stock
FARO,Faro Tech Inc,Stock
FAST,Fastenal Co,Stock
FAT,Fat Brands Inc,Stock
FATE,Fate Therapeutics,Stock
FB,Facebook Inc,Stock
FBC,Flagstar Bancorp,Stock
FBHS,Fortune Brands Home & Security,Stock
FBIO,Fortress Biotech Inc,Stock
FBIOP,Fortress Biotech Inc 9.375% Series A Cumulativ,Stock
FBIZ,First Business Finan,Stock
FBK,Fb Financial Corp,Stock
FBM,Foundation Building Materials Inc,Stock
FBMS,First Bancshs [Ms],Stock
FBNC,First Bancorp [Nc],Stock
FBNK,First Connecticut BA,Stock
FBP,First Bancorp,Stock
FBR,Fibria Celulose S.A.,Stock
FBSS,Fauquier Bankshares,Stock
FBZ,Brazil Alphadex Fund FT,Stock
FC,Franklin Covey Company,Stock
FCA,China Alphadex Fund FT,Stock
FCAL,First Trust Exchange-Traded Fund III First Trust,Stock
FCAN,Canada Alphadex Fund FT,Stock
FCAP,First Capital Inc,Stock
FCAU,Fiat Chrysler Automobiles N.V.,Stock
FCB,Fcb Financial Holdings Inc,Stock
FCBC,First Community Bksh,Stock
FCCO,First Community Corp,Stock
FCCY,1st Constitution Bcp,Stock
FCE.A,Forest City Ent Cl A,Stock
FCEF,CEF Income Opportunity ETF FT,Stock
FCEL,Fuelcell Energy Inc,Stock
FCF,First Commonwealth Financial Corp,Stock
FCFS,First Cash Fin Svcs,Stock
FCN,Fti Consulting,Stock
FCNCA,First Citizens Bancs,Stock
FCPT,Four Corners Property Trust In,Stock
FCRE,Fc Global Realty Inc,Stock
FCSC,Fibrocell Science,Stock
FCT,Senior Floating Rate II,Stock
FCVT,Ssi Strategic Convertible Securities ETF FT,Stock
FCX,Freeport-Mcmoran Inc,Stock
FDBC,Fidelity D & D Bancorp Inc,Stock
FDC,First Data Corp,Stock
FDEF,First Defiance Finl,Stock
FDEU,First Trust Dynamic Europe Equi,Stock
FDIV,Strategic Income ETF FT,Stock
FDP,Fresh Del Monte Produce,Stock
FDS,Factset Research Systems Inc,Stock
FDT,Dev Mkts Ex-US Alphadex Fund FT,Stock
FDTS,Dev Mkts Ex-US Small Cap Alphadex Fund FT,Stock
FDUS,Fidus Investment Cor,Stock
FDUSL,Fidus Investment Corporation 5.875% Notes Due 20,Stock
FDX,Fedex Corp,Stock
FE,Firstenergy Corp,Stock
FEDU,Four Seasons Education [Cayman] Inc,Stock
FEI,First Trust MLP and Energy Inc,Stock
FEIM,Frequency Elcts Inc,Stock
FELE,Franklin Electric Co,Stock
FELP,Foresight Energy LP,Stock
FEM,Emrg Mkts Alphadex Fund FT,Stock
FEMB,Emrg Mkts Local Currency Bond ETF FT,Stock
FEMS,Emrg Mkts Small Cap Alphadex Fund FT,Stock
FENC,Fennec Pharmaceuticals Inc,Stock
FENG,Phoenix New Media Ltd,Stock
FEO,First Trust/Aberdeen Emerging Opportunity Fund,Stock
FEP,Europe Alphadex Fund FT,Stock
FET,Forum Energy Technologies Inc,Stock
FEUZ,Eurozone Alphadex Fund FT,Stock
FEX,Largecap Core Alphadex Fund FT,Stock
FEYE,Fireeye Inc,Stock
FF,Futurefuel Corp,Stock
FFA,First Trust Enhanced Equity Income Fund,Stock
FFBC,First Finl Bncp [Oh],Stock
FFBCW,First Fin Bcorp Wrnt,Stock
FFBW,Ffbw Inc,Stock
FFC,Flaherty Crumrine/Claymore Preferred Securities,Stock
FFG,Fbl Financial Group,Stock
FFHL,Fuwei Films [Holding,Stock
FFIC,Flushing Finl Corp,Stock
FFIN,First Finl Bkshs Inc,Stock
FFIV,F5 Networks Inc,Stock
FFKT,Farmers Capital BA,Stock
FFNW,First Financial Nort,Stock
FFWM,First Foundation,Stock
FG,Fgl Holdings,Stock
FG.W,Fgl Holdings WT,Stock
FGB,Specialty Finance and Financial Fund,Stock
FGBI,First Gurty Banc,Stock
FGEN,Fibrogen Inc CS,Stock
FGM,Germany Alphadex Fund FT,Stock
FGP,Ferrellgas Partners LP,Stock
FHB,First Hawaiian Inc,Stock
FHK,Hong Kong Alphadex Fund FT,Stock
FHN,First Horizon National Corp,Stock
FHN-A,First Horizon National Corpora,Stock
FHY,Strategic High II,Stock
FI,Frank's International N.V.,Stock
FIBK,First Interstate Ban,Stock
FICO,Fair Isaac and Company Inc,Stock
FIF,First Trust Energy Infrastruct,Stock
FII,Federated Investors,Stock
FINL,Finish Line Cl A,Stock
FINX,G-X Fintech Thematic ETF,Stock
FIS,Fidelity National Information Services,Stock
FISI,Financial Institut,Stock
FISV,Fiserv Inc,Stock
FIT,Fitbit Inc,Stock
FITB,Fifth Third Bncp,Stock
FITBI,Fifth Third Bancorp,Stock
FIV,First Trust Senior Floating Rate 2022 Target Ter,Stock
FIVE,Five Below Inc,Stock
FIVN,Five9 Inc,Stock
FIX,Comfort Systems USA,Stock
FIXD,Tcw Opportunistic Fixed Income ETF FT,Stock
FIZZ,Natl Beverage Cp,Stock
FJP,Japan Alphadex Fund FT,Stock
FKO,South Korea Alphadex Fund FT,Stock
FKU,UK Alphadex Fund FT,Stock
FL,Footlocker Inc,Stock
FLAT,Ipath US Treas Flattener ETN,Stock
FLC,Flaherty & Crumrine/Claymore Total Return,Stock
FLDM,Fluidigm Corp,Stock
FLEX,Flextronics Intl Ltd,Stock
FLGT,Fulgent Genetics Inc,Stock
FLIC,First of Long Isla,Stock
FLIR,Flir Systems Inc,Stock
FLKS,Flex Pharma Inc,Stock
FLL,Full House Rsts,Stock
FLN,Latin America Alphadex Fund FT,Stock
FLO,Flowers Foods,Stock
FLOW,SPX Flow Inc,Stock
FLR,Fluor Corp,Stock
FLS,Flowserve Corp,Stock
FLT,Fleetcor Technologies,Stock
FLWS,1-800-Flowers.Com,Stock
FLXN,Flexion Therapeutics,Stock
FLXS,Flexsteel Inds,Stock
FLY,Fly Leasing Ltd,Stock
FMAO,Farmers & Merch Banc,Stock
FMB,Managed Municipal ETF FT,Stock
FMBH,First Mid Ill Bncshr,Stock
FMBI,First Midwest Bncp,Stock
FMC,FMC Corp,Stock
FMHI,FT Municipal High Income ETF,Stock
FMI,Foundation Medicine,Stock
FMK,Mega Cap Alphadex Fund FT,Stock
FMN,Federated Premier Muni,Stock
FMNB,Farmers Natl Banc Cp,Stock
FMO,Fiduciary/Claymore MLP Opportunity Fund,Stock
FMS,Fresenius Medical Care Corp,Stock
FMSA,Fmsa Holdings Inc,Stock
FMX,Fomento Economico Mexicano S.A.B. De C.V.,Stock
FMY,First Trust/Fidac Mortgage Income Fund,Stock
FN,Fabrinet,Stock
FNB,F.N.B. Corp,Stock
FNB-E,F.N.B. Corporation Representin,Stock
FNBG,Fnb Bancorp [Ca],Stock
FNCB,First National Community Bancorp Inc,Stock
FND,Floor & Decor Holdings Inc,Stock
FNF,Fidelity National Financial,Stock
FNGN,Financial Engines,Stock
FNHC,Federated Natl Hldg,Stock
FNJN,Finjan Holdings,Stock
FNK,Mid Cap Value Alphadex Fund FT,Stock
FNKO,Funko Inc Class A,Stock
FNLC,First Bancorp Inc,Stock
FNSR,Finisar Corp,Stock
FNTE,Fintech Acquisition Corp II,Stock
FNTEU,Fintech Acquisition Corp II Unit,Stock
FNTEW,Fintech Acquisition Corp II Warrant,Stock
